SD_x,SD_y,A_x,A_y,S_x,S_y,B_x,B_y,D_x,D_y
52.87202149,97.34322266,32.33111023,61.41110125,58.21360826,91.88189151,51.20389114,83.33977661,55.3846,97.1795
59.01414449,93.57487487,53.42146288,26.18688039,58.19605369,92.21498865,58.9744699,85.49981761,51.5385,96.0256
56.37510904,96.30514763,63.92020226,30.83219392,58.71823072,90.31053209,51.87207267,85.82973763,46.1538,94.4872
37.83919968,94.3594435,70.28950572,82.53364859,57.27837287,89.90760672,48.17993079,85.04511674,42.8205,91.4103
39.88537342,90.63466208,34.11883024,45.73455132,58.08202049,92.00814501,41.6832004,84.0179406,40.7692,88.3333
44.07740513,84.1258533,67.6707164,37.11094797,57.48944777,88.08528556,37.8904155,82.567493,38.7179,84.8718
31.49702549,67.91256216,53.25912941,97.4757711,28.08874132,63.51079443,39.54897369,80.81260177,35.641,79.8718
25.95259655,73.03318035,63.51498087,25.10007858,28.08546821,63.59019695,39.64957388,82.66453387,33.0769,77.5641
36.43472391,62.29404546,67.98053881,80.95716522,28.08727305,63.12328281,34.75059705,80.01109099,28.9744,74.4872
24.99748269,75.44156166,67.3724659,29.7204002,27.57802522,62.82103866,27.56083529,72.84782559,26.1538,71.4103
32.24627514,70.11058684,15.56074952,80.06564029,27.77991911,63.51814752,24.63553998,71.61071483,23.0769,66.4103
18.10947229,53.70811033,71.79076769,71.06546666,28.58899981,63.02408057,20.95946481,66.04149838,22.3077,61.7949
21.79609923,49.49952952,70.24254644,24.10959755,28.7391415,62.72086389,20.68914905,62.72130521,22.3077,57.1795
24.15049107,47.18853353,64.93743554,81.55420499,27.02460324,62.90185886,19.28820474,62.06305936,23.3333,52.9487
28.6031956,44.2237227,62.21352455,21.475839,28.8013367,63.38904039,20.02450057,61.34262387,25.8974,51.0256
20.93199968,51.64623549,67.26940048,18.70896837,27.18646384,63.55872965,35.469523,43.11588495,29.4872,51.0256
35.43553253,34.96103816,40.57019704,79.37296348,29.2851466,63.38360583,36.89432765,47.70655597,32.8205,51.0256
