"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdnno","rlgblge","rlgdnme","rlgdeno","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","feethngr","facntr","fbrncntc","mocntr","mbrncntc","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","nobingnd","likrisk","liklead","sothnds","actcomp","mascfel","femifel","impbemw","trmedmw","trwrkmw","trplcmw","trmdcnt","trwkcnt","trplcnt","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg","eqparep","eqparlv","freinsw","fineqpy","wsekpwr","weasoff","wlespdm","wexashr","wprtbym","wbrgwrm","hhmmb","gndr","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","yrbrn","agea","yrbrn2","yrbrn3","yrbrn4","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","yrbrn10","yrbrn11","yrbrn12","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshipa10","rshipa11","rshipa12","rshpsts","lvgptnea","dvrcdeva","marsts","maritalb","chldhhe","domicil","paccmoro","paccdwlr","pacclift","paccnbsh","paccocrw","paccxhoc","paccnois","paccinro","paccnt","paccref","paccdk","paccna","edulvlb","eisced","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","mnactic","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","edulvlpb","eiscedp","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","isco08p","emprelp","wkhtotp","edulvlfb","eiscedf","emprf14","occf14b","edulvlmb","eiscedm","emprm14","occm14b","atncrse","anctrya1","anctrya2","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50020,"NO",0.99609596,0.6197392,0.3420282,0.21196827,90,5,120,8,9,8,2,4,3,4,5,9,8,8,6,7,8,8,1,1,1,2,2,2,2,2,1,1,1,8,9,7,3,7,10,7,3,1,5,1,7,4,4,3,3,2,7,7,6,10,6,4,2,2,1,2,2,8,7,1,2,1,6,66,6666,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",4,8,4,,1,2,4,6,4,5,3,5,6,2,2,3,3,1,3,6,6,6,6,2,5,4,3,3,3,4,2,5,4,2,2,1,6,6,6,6,6,6,6,6,,,1952,71,1933,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,1,1,1,66,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,510,5,15,0,0,0,0,0,1,0,1,0,0,0,0,6,6,2,1,2014,1,66666,1,5,1,15,8,7,37,50,6,4,1120,2,2,6,6,3,4,10,1,421,5,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,421,5,2,9,421,5,2,4,2,12040,555555,1,4,2,3,4,2,3,2,5,2,1,1,2,3,2,1,2,1,2,2,2,0.00084600004,1056,15916
"ESS11e02",11,"2.0","20.11.2024",50049,"NO",0.9996408,0.99323577,0.3420282,0.33971465,150,5,300,9,9,7,1,5,4,4,4,8,8,7,7,8,5,8,1,1,1,1,1,1,1,1,1,2,6,3,9,8,5,10,7,6,1,1,5,1,5,3,4,1,1,1,9,9,9,9,7,4,4,2,1,2,3,7,5,2,66,6666,1,2,1,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",4,8,4,,1,2,3,4,5,5,3,3,4,3,3,3,1,1,8,6,6,6,6,2,1,1,1,2,2,4,2,5,3,1,2,6,6,6,6,6,6,6,6,6,,,1993,30,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,66,66,66,66,66,66,66,66,66,,,66,2,2,6,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,720,7,22,1,0,0,0,0,0,0,0,1,0,0,0,1,1,6,6,6666,1,66666,2,4,2,66666,9,4,38,45,85,2,2310,1,2,6,6,1,1,3,2,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,710,7,1,1,510,5,3,66,1,12040,555555,1,3,1,3,6,2,5,2,6,3,2,2,2,4,1,5,4,4,2,6,4,0.000843,1043,15781
"ESS11e02",11,"2.0","20.11.2024",50052,"NO",1.0020181,0.6130569,0.3420282,0.20968275,60,5,150,7,5,2,2,2,2,1,3,7,7,10,6,5,7,8,2,2,2,2,2,2,2,2,2,1,2,2,8,5,3,7,7,8,2,1,5,1,3,3,4,2,2,2,6,4,4,8,5,6,3,2,1,1,3,7,4,2,66,6666,2,66,6666,3,7,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,"US",2016,"ENG","000",1,2,"US",2,"US",3,6,2,,2,1,5,4,4,5,6,0,4,3,3,3,3,1,3,6,6,6,6,2,2,1,1,2,3,3,2,2,3,2,1,2,6,6,6,6,6,6,6,6,,,1978,45,1979,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,3,6,2,6,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,620,6,16,0,0,0,1,0,0,0,0,0,0,0,0,66,4,2,1,2023,1,66666,2,4,1,3,3,0,38,40,999,4,3332,1,1,2,1,3,1,8,1,800,7,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,2310,1,38,720,7,2,5,720,7,1,1,1,12040,15090,3,5,2,5,4,4,5,3,2,3,3,2,4,3,2,3,5,2,3,5,2,0.000841,1064,14932
"ESS11e02",11,"2.0","20.11.2024",50059,"NO",0.9996408,1.0746199,0.3420282,0.3675503,30,5,210,8,7,7,2,3,3,3,2,5,4,3,1,3,88,2,1,2,2,2,1,2,1,2,2,2,6,3,8,1,2,6,7,6,1,2,3,3,5,4,4,1,1,1,7,9,6,9,7,4,3,2,2,2,3,5,1,1,6,7,6,66,6666,7,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"6666",6666,"NOR","URD",2,2,"PK",2,"PK",4,8,4,,2,1,4,3,5,5,4,0,4,3,3,3,3,8,8,3,6,6,6,5,4,1,3,2,3,2,1,2,3,5,1,1,2,1,2,6,6,6,6,6,,,1998,25,1971,1977,2001,2014,6666,6666,6666,6666,6666,,,3,3,4,4,66,66,66,66,66,,,66,2,2,6,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,313,4,18,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,1,2023,1,66666,2,4,2,66666,3,0,0,30,85,2,2211,2,2,6,6,1,1,7,1,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,720,7,1,2,421,5,1,8,1,41080,555555,2,4,1,4,3,2,2,2,2,3,3,2,4,2,2,3,3,2,1,3,3,0.000843,1029,15425
"ESS11e02",11,"2.0","20.11.2024",50086,"NO",0.9996408,0.7172716,0.3420282,0.24532712,15,5,15,6,4,6,3,2,4,3,3,4,6,7,5,5,5,6,1,1,2,1,1,8,1,1,2,2,6,4,4,3,5,4,5,7,2,1,5,2,88,4,4,3,3,3,5,8,8,5,5,4,2,1,2,2,2,8,8,1,2,1,6,66,6666,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,2,"GB",1,"6666",4,10,4,,88,2,2,5,6,6,3,2,2,3,2,3,3,1,2,4,6,6,6,1,4,1,1,3,3,3,2,4,3,2,2,2,6,6,6,6,6,6,6,6,,,1983,40,1983,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,3,6,2,6,6,2,1,0,1,0,0,0,1,1,0,0,0,0,0,610,6,18,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,1,1,2,8,8,30,35,90,6,2653,2,2,6,6,1,1,5,2,313,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,2635,2,20,421,5,4,66,720,7,1,1,2,71000,555555,1,4,2,3,5,6,5,1,4,4,1,1,2,4,4,2,4,1,1,2,4,0.000843,1049,15817
"ESS11e02",11,"2.0","20.11.2024",50089,"NO",0.99140847,0.80776316,0.3420282,0.27627778,60,5,30,9,9,7,3,2,2,2,3,8,8,9,4,4,88,7,1,2,2,2,2,2,2,2,2,2,6,5,9,9,6,8,8,7,2,2,4,2,3,2,2,2,2,2,5,4,7,9,6,1,2,2,1,3,3,10,4,2,66,6666,2,66,6666,4,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",2,7,2,,2,1,5,5,5,5,4,0,4,3,3,4,3,3,3,4,4,4,5,3,2,2,4,3,3,4,3,2,4,2,1,2,6,6,6,6,6,6,6,6,,,1947,76,1950,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,1,2,2,66,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,421,5,8,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,2,6666,6,66666,6,6,6,66666,66,66,666,666,666,66,66666,6,2,6,6,1,4,4,1,321,3,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,213,2,2,9,321,3,3,66,2,12040,555555,2,5,2,4,5,2,2,2,2,4,2,2,2,2,3,2,2,2,3,2,2,0.00085,1037,15747
"ESS11e02",11,"2.0","20.11.2024",50129,"NO",0.9996408,0.7227297,0.3420282,0.24719393,90,4,20,8,9,6,3,3,3,4,3,9,9,9,8,8,9,9,1,2,2,2,2,2,2,2,2,2,6,2,6,4,6,9,9,3,1,1,5,2,6,2,2,2,2,2,5,6,5,7,4,2,3,1,2,3,2,10,8,2,66,6666,1,2,1,3,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",3,5,3,,1,2,0,3,5,6,0,6,6,3,3,3,3,3,3,4,6,6,6,2,4,2,2,3,4,4,3,3,3,2,2,1,6,6,6,6,6,6,6,6,,,1959,64,1955,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,1,2,1,66,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,610,6,21,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2021,1,66666,1,3,2,66666,9,8,40,42,88,2,2635,2,1,2,2,1,4,5,1,610,6,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,421,5,1,6,321,3,3,66,2,12040,11070,2,6,1,5,2,6,2,2,3,6,2,2,6,1,5,1,3,1,2,1,4,0.000843,1046,15368
"ESS11e02",11,"2.0","20.11.2024",50198,"NO",0.9996408,4.0021954,0.3420282,1.3688637,45,5,720,7,7,4,2,3,4,4,4,10,10,8,7,7,8,10,1,1,2,2,2,2,2,2,2,1,2,9,8,8,3,10,7,6,5,1,5,1,6,2,2,1,1,1,8,8,7,8,6,5,5,2,2,2,3,8,8,2,66,6666,2,66,6666,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","ENG",1,2,"GB",1,"6666",3,8,3,,2,1,5,6,6,6,6,2,5,3,3,3,3,1,3,6,6,6,6,3,3,1,3,3,4,4,3,3,3,2,1,2,6,6,6,6,6,6,6,6,,,1970,53,1966,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,3,6,2,6,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,213,2,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,4,1,150,10,7,37,65,999,4,1219,2,2,6,6,3,1,10,1,321,3,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,4110,1,37,213,2,1,4,213,2,1,3,1,12040,11000,1,4,2,2,3,2,2,2,2,1,1,1,3,2,2,2,2,1,4,3,1,0.000843,1062,15542
"ESS11e02",11,"2.0","20.11.2024",50209,"NO",0.9996408,0.7172716,0.3420282,0.24532712,60,5,240,8,8,7,3,3,3,3,3,9,9,9,7,5,8,9,1,1,2,2,2,2,2,2,1,1,2,7,9,7,3,8,8,5,2,1,5,1,5,2,4,2,2,2,3,6,5,9,6,4,3,2,2,2,3,9,9,1,2,1,6,66,6666,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",3,8,3,,2,2,4,4,4,5,0,5,5,3,1,4,3,1,3,5,5,5,6,2,4,2,2,4,4,4,3,4,2,5,2,1,2,2,1,6,6,6,6,6,,,1973,50,1967,2000,2003,2007,6666,6666,6666,6666,6666,,,1,2,2,2,66,66,66,66,66,,,2,1,2,66,2,6,5,0,0,0,0,0,0,0,0,1,0,0,0,720,7,17,1,0,0,0,0,0,0,1,0,0,0,0,1,1,6,6,6666,1,66666,1,5,2,66666,8,7,38,45,64,4,2412,2,2,6,6,1,1,9,1,313,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,1219,3,60,213,2,1,7,313,4,1,5,1,12040,555555,2,5,2,6,3,3,2,2,4,5,2,2,5,3,4,1,3,2,2,4,4,0.000843,1049,15823
"ESS11e02",11,"2.0","20.11.2024",50231,"NO",1.0020181,0.6436276,0.3420282,0.22013879,90,5,60,8,8,8,2,3,3,3,4,9,9,8,7,7,6,4,1,1,1,2,1,2,2,2,1,1,2,7,9,7,5,7,9,8,2,3,5,5,3,2,2,2,2,2,7,4,5,9,7,1,4,2,1,2,2,10,5,1,2,1,6,66,6666,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"NOR","000",1,1,"6666",1,"6666",4,8,3,,2,1,1,4,5,5,6,0,6,3,3,3,3,3,3,5,5,5,6,5,5,2,2,3,3,2,2,2,3,2,1,2,6,6,6,6,6,6,6,6,,,1952,71,1955,6666,6666,6666,6666,6666,6666,6666,6666,,,1,66,66,66,66,66,66,66,66,,,1,2,2,66,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,720,7,20,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2021,1,66666,1,4,2,66666,8,7,0,48,85,2,2310,2,2,6,6,2,4,5,1,620,6,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,421,5,2,4,421,5,2,3,2,12040,555555,3,6,2,5,3,5,1,1,3,5,3,1,4,5,5,1,4,1,2,1,5,0.000841,1033,15615
